fake_id,3,47,191,217,501,503,505,512,514,9003,9004,9005,9006,overall_total
3050-3059,215,94,429,79,434,436,228,412,139,1,37,62,1,2567
4936-4943,150,40,449,60,248,235,97,538,69,0,24,71,1,1982
4820-4820,4,2,31,2,17,5,6,118,4,0,8,5,0,202
6800-6816,54,53,1055,94,658,477,180,1685,115,0,69,102,0,4542
2856-2867,79,134,783,240,275,758,212,219,91,0,25,17,0,2833
5176-5179,38,15,256,40,181,148,91,223,31,0,8,35,0,1066
2239-2247,229,90,482,99,322,421,324,302,145,0,18,29,0,2461
4957-4962,27,19,362,55,156,203,87,501,25,0,14,18,0,1467
5872-5872,1,0,40,0,5,2,0,31,0,0,0,0,0,79
5989-5991,8,2,67,1,50,14,2,417,8,0,13,2,0,584
1349-1374,390,241,1213,316,988,944,904,759,362,0,36,116,4,6273
4920-4925,32,24,304,36,338,208,116,410,44,0,18,48,0,1578
6831-6840,32,39,659,64,394,267,88,879,158,8,36,62,0,2686
1769-1776,130,83,461,78,284,352,312,237,129,8,19,41,0,2134
4928-4935,129,21,462,55,268,250,98,533,61,0,27,60,0,1964
7378-7383,21,12,274,60,199,122,74,541,28,0,20,11,7,1369
6478-6485,22,19,376,23,722,126,80,680,36,0,29,31,0,2144
4556-4561,11,19,431,19,158,184,26,707,20,0,32,14,0,1621
4086-4115,88,146,1499,231,2669,1277,337,1199,184,0,96,135,9,7870
4013-4016,22,8,289,14,176,121,7,380,16,0,24,18,0,1075
287-291,59,96,290,53,106,346,98,150,43,0,10,9,0,1260
5475-5477,3,6,259,9,17,79,7,316,16,0,6,17,0,735
469-477,173,74,460,87,297,347,313,299,124,0,21,54,0,2249
7736-7737,3,1,104,0,97,25,3,261,13,0,17,0,0,524
2139-2143,93,38,265,56,158,245,157,181,65,0,8,24,5,1295
4316-4325,51,17,1054,24,273,151,68,940,39,0,24,65,1,2707
843-844,55,23,93,18,91,84,63,58,29,0,5,14,0,533
6823-6830,29,17,510,52,286,225,112,779,53,0,41,33,0,2137
7127-7132,42,33,269,34,141,187,102,449,36,0,22,33,0,1348
1619-1628,199,105,501,93,347,361,363,354,162,4,15,45,0,2549
6665-6666,5,2,106,3,18,29,6,112,2,0,10,0,0,293
7329-7330,9,9,88,8,45,33,18,86,15,0,5,3,0,319
7973-7976,7,11,241,22,313,119,17,286,16,0,7,15,0,1054
554-567,153,138,906,226,428,619,504,388,139,1,20,61,0,3583
7631-7632,3,0,185,4,15,14,3,50,0,0,4,2,0,280
7191-7203,120,68,676,85,383,373,251,1056,93,0,45,84,0,3234
6426-6427,34,3,74,4,45,43,9,120,9,0,3,7,0,351
1995-2000,173,21,242,32,308,209,154,207,129,12,22,33,1,1543
3820-3832,80,25,750,28,789,245,100,866,62,0,42,47,0,3034
4053-4053,0,1,3,0,3,2,0,4,0,0,0,0,0,13
4900-4907,62,35,407,45,425,267,159,509,82,0,17,51,0,2059
2478-2484,199,39,287,47,237,279,191,364,87,11,14,75,2,1832
5158-5167,115,46,460,143,302,453,162,417,80,0,34,53,27,2292
4672-4682,11,17,387,27,1160,141,36,894,27,1,13,26,1,2741
5955-5959,16,10,542,19,114,126,31,418,17,0,20,22,0,1335
5869-5869,0,0,52,10,13,7,1,104,0,0,0,0,0,187
5435-5439,11,12,227,20,108,172,27,648,29,0,13,22,0,1289
6714-6714,1,0,110,2,2,7,0,32,0,0,1,0,0,155
4971-4976,36,17,364,40,150,229,90,491,19,0,12,32,0,1480
7326-7326,2,3,34,1,13,14,8,52,2,0,6,0,0,135
2456-2468,303,111,645,137,371,522,355,485,177,0,29,92,0,3227
173-179,69,64,430,90,270,326,207,166,73,0,13,12,0,1720
3132-3139,28,21,417,117,308,370,101,566,52,0,15,37,1,2033
428-435,176,45,262,37,437,261,218,376,110,4,25,33,2,1986
7324-7325,11,9,99,17,25,49,22,208,19,0,5,4,1,469
1841-1848,217,76,379,65,299,338,170,390,158,0,30,58,5,2185
6673-6679,13,10,477,22,145,131,37,883,21,0,44,10,0,1793
3633-3643,112,61,556,126,504,623,341,282,90,0,16,34,0,2745
2868-2871,118,33,199,36,165,184,156,149,56,0,3,32,0,1131
4884-4891,60,31,408,67,390,297,162,520,80,0,11,37,0,2063
6430-6431,21,4,117,8,72,48,32,157,10,0,7,4,0,480
1592-1594,58,13,34,7,82,46,59,194,21,0,6,21,0,541
332-342,200,96,492,96,331,412,333,362,169,0,28,54,7,2580
5755-5781,81,75,1447,176,729,899,235,2424,311,1,84,140,2,6604
3838-3840,2,1,55,1,73,11,0,145,4,0,5,1,0,298
3791-3803,72,22,700,38,770,302,107,922,63,0,52,53,0,3101
2833-2845,187,114,818,250,517,631,416,325,152,0,28,53,2,3493
6732-6732,0,1,10,3,9,13,4,50,0,0,0,3,0,93
3183-3186,20,13,329,19,33,64,18,531,11,0,25,7,0,1070
3154-3154,1,2,144,9,9,9,4,33,3,0,5,0,0,219
2500-2509,233,81,495,82,292,392,265,342,136,0,19,48,0,2385
3369-3374,43,32,301,45,264,341,165,248,41,0,16,35,0,1531
981-988,92,78,484,139,294,378,282,234,104,0,12,20,1,2118
1822-1829,156,56,457,72,287,387,259,343,116,0,19,42,0,2194
6434-6445,34,20,1119,34,753,142,59,879,64,0,89,4,0,3197
3346-3351,65,33,464,55,171,321,95,368,33,0,15,37,0,1657
1895-1904,340,84,353,49,556,342,189,440,169,1,43,73,1,2640
4619-4623,6,8,323,26,87,114,30,626,21,0,38,3,0,1282
6211-6220,110,50,820,55,340,239,131,629,53,66,33,71,0,2597
5833-5844,22,28,951,40,397,362,56,1146,67,0,35,49,0,3153
5495-5503,27,23,940,15,367,325,34,562,38,0,48,23,0,2402
7286-7296,174,82,566,64,395,549,246,692,90,0,54,112,0,3024
4462-4462,0,1,1,0,1,3,0,18,1,0,1,0,0,26
3060-3067,191,43,319,58,414,280,216,361,123,0,20,58,0,2083
7107-7118,112,56,713,98,370,409,269,1042,133,0,36,70,0,3308
349-357,268,53,266,41,371,333,210,420,128,0,39,67,0,2196
7864-7865,1,3,9,1,284,15,5,207,1,0,5,6,5,542
1209-1213,179,56,207,44,208,212,181,246,85,0,20,35,0,1473
4837-4839,40,13,97,11,78,99,56,221,26,0,7,16,0,664
6164-6167,45,8,298,31,136,98,61,342,32,0,17,27,0,1095
3361-3365,54,19,401,33,184,242,68,252,32,0,24,5,0,1314
3925-3934,15,11,741,41,432,167,45,981,38,0,43,34,0,2548
1432-1438,123,135,405,72,260,325,311,212,103,0,19,21,4,1990
6411-6416,22,12,434,26,154,177,106,476,29,0,18,31,0,1485
3845-3845,1,2,17,0,23,4,0,14,1,0,1,1,0,64
491-501,171,74,449,88,260,343,338,305,109,16,17,52,0,2222
6135-6147,154,37,871,118,452,364,208,1267,108,0,32,56,1,3668
6433-6433,2,0,22,1,13,11,2,73,4,0,3,3,0,134
132-147,149,187,990,232,506,776,415,414,157,1,34,40,4,3905
7282-7285,4,10,327,16,70,85,26,523,22,0,11,1,0,1095
2377-2382,127,46,316,69,189,266,178,242,83,0,8,34,0,1558
2551-2552,63,8,105,15,65,78,56,86,46,0,3,24,0,549
4025-4026,3,5,90,4,42,68,1,273,8,0,4,0,0,498
2436-2447,280,104,588,111,381,470,374,421,181,22,32,66,7,3037
