mesa_desde,mesa_hasta,vot_parcodigo,total
891,900,003,539
891,900,047,113
891,900,191,210
891,900,217,76
891,900,501,298
891,900,503,401
891,900,505,346
891,900,512,371
891,900,514,134
891,900,9003,4
891,900,9004,28
891,900,9005,51
891,900,9006,1
901,912,003,613
901,912,047,126
901,912,191,257
901,912,217,78
901,912,501,390
901,912,503,483
901,912,505,424
901,912,512,520
901,912,514,155
901,912,9003,6
901,912,9004,29
901,912,9005,60
901,912,9006,0
913,922,003,490
913,922,047,109
913,922,191,159
913,922,217,70
913,922,501,299
913,922,503,341
913,922,505,316
913,922,512,351
913,922,514,111
913,922,9003,0
913,922,9004,18
913,922,9005,44
913,922,9006,0
923,934,003,656
923,934,047,116
923,934,191,272
923,934,217,100
923,934,501,390
923,934,503,455
923,934,505,409
923,934,512,484
923,934,514,154
923,934,9003,21
923,934,9004,42
923,934,9005,87
923,934,9006,3
935,947,003,714
935,947,047,114
935,947,191,296
935,947,217,119
935,947,501,435
935,947,503,511
935,947,505,412
935,947,512,507
935,947,514,172
935,947,9003,1
935,947,9004,43
935,947,9005,91
935,947,9006,2
948,955,003,535
948,955,047,134
948,955,191,90
948,955,217,88
948,955,501,275
948,955,503,409
948,955,505,294
948,955,512,202
948,955,514,97
948,955,9003,0
948,955,9004,11
948,955,9005,16
948,955,9006,0
956,965,003,621
956,965,047,197
956,965,191,119
956,965,217,92
956,965,501,345
956,965,503,484
956,965,505,318
956,965,512,236
956,965,514,125
956,965,9003,5
956,965,9004,24
956,965,9005,33
956,965,9006,1
966,972,003,352
966,972,047,62
966,972,191,81
966,972,217,46
966,972,501,199
966,972,503,303
966,972,505,217
966,972,512,203
966,972,514,87
966,972,9003,0
966,972,9004,9
966,972,9005,32
966,972,9006,0
973,980,003,472
973,980,047,114
973,980,191,105
973,980,217,70
973,980,501,324
973,980,503,356
973,980,505,259
973,980,512,291
973,980,514,107
973,980,9003,5
973,980,9004,19
973,980,9005,21
973,980,9006,0
981,988,003,484
981,988,047,139
981,988,191,92
981,988,217,78
981,988,501,294
981,988,503,378
981,988,505,282
981,988,512,234
981,988,514,104
981,988,9003,0
981,988,9004,12
981,988,9005,20
981,988,9006,1
989,994,003,395
989,994,047,83
989,994,191,53
989,994,217,68
989,994,501,189
989,994,503,312
989,994,505,203
989,994,512,193
989,994,514,63
989,994,9003,0
989,994,9004,8
989,994,9005,16
989,994,9006,4
995,1004,003,633
995,1004,047,143
995,1004,191,140
995,1004,217,89
995,1004,501,324
995,1004,503,546
995,1004,505,323
995,1004,512,287
995,1004,514,109
