mesa_desde,mesa_hasta,vot_parcodigo,total
478,490,3027,143
478,490,9003,1
478,490,9004,43
478,490,9005,92
478,490,9006,0
491,501,047,67
491,501,063,32
491,501,191,275
491,501,234,38
491,501,501,200
491,501,503,380
491,501,505,241
491,501,514,97
491,501,3020,18
491,501,3021,391
491,501,3022,60
491,501,3023,35
491,501,3024,18
491,501,3025,14
491,501,3026,349
491,501,3027,136
491,501,9003,0
491,501,9004,37
491,501,9005,48
491,501,9006,0
502,510,047,69
502,510,063,30
502,510,191,245
502,510,234,40
502,510,501,207
502,510,503,285
502,510,505,243
502,510,514,84
502,510,3020,21
502,510,3021,333
502,510,3022,41
502,510,3023,49
502,510,3024,9
502,510,3025,14
502,510,3026,323
502,510,3027,149
502,510,9003,0
502,510,9004,24
502,510,9005,41
502,510,9006,2
511,517,047,52
511,517,063,26
511,517,191,192
511,517,234,24
511,517,501,174
511,517,503,215
511,517,505,226
511,517,514,82
511,517,3020,19
511,517,3021,287
511,517,3022,42
511,517,3023,19
511,517,3024,4
511,517,3025,11
511,517,3026,240
511,517,3027,77
511,517,9003,0
511,517,9004,20
511,517,9005,55
511,517,9006,0
518,522,047,15
518,522,063,11
518,522,191,194
518,522,234,14
518,522,501,171
518,522,503,124
518,522,505,63
518,522,514,35
518,522,3020,8
518,522,3021,73
518,522,3022,6
518,522,3023,6
518,522,3024,6
518,522,3025,7
518,522,3026,324
518,522,3027,56
518,522,9003,5
518,522,9004,30
518,522,9005,28
518,522,9006,0
523,526,047,17
523,526,063,13
523,526,191,222
523,526,234,13
523,526,501,91
523,526,503,143
523,526,505,72
523,526,514,29
523,526,3020,12
523,526,3021,112
523,526,3022,11
523,526,3023,13
523,526,3024,9
523,526,3025,5
523,526,3026,206
523,526,3027,47
523,526,9003,0
523,526,9004,31
523,526,9005,27
523,526,9006,0
527,534,047,30
527,534,063,12
527,534,191,328
527,534,234,22
527,534,501,151
527,534,503,263
527,534,505,118
527,534,514,61
527,534,3020,23
527,534,3021,205
527,534,3022,17
527,534,3023,22
527,534,3024,16
527,534,3025,8
527,534,3026,409
527,534,3027,72
527,534,9003,18
527,534,9004,56
527,534,9005,39
527,534,9006,5
535,543,047,70
535,543,063,37
535,543,191,200
535,543,234,27
535,543,501,182
535,543,503,247
535,543,505,251
535,543,514,79
535,543,3020,20
535,543,3021,349
535,543,3022,59
535,543,3023,25
535,543,3024,8
535,543,3025,8
535,543,3026,446
535,543,3027,120
535,543,9003,0
535,543,9004,31
535,543,9005,46
535,543,9006,3
544,550,047,49
544,550,063,14
544,550,191,172
544,550,234,31
544,550,501,133
544,550,503,215
544,550,505,263
544,550,514,63
544,550,3020,17
544,550,3021,258
544,550,3022,50
544,550,3023,19
544,550,3024,12
544,550,3025,6
544,550,3026,305
544,550,3027,113
544,550,9003,0
544,550,9004,29
544,550,9005,37
544,550,9006,0
551,552,047,4
551,552,063,3
551,552,191,54
551,552,234,1
551,552,501,25
551,552,503,25
551,552,505,25
551,552,514,16
551,552,3020,3
551,552,3021,18
551,552,3022,3
551,552,3023,2
551,552,3024,0
551,552,3025,0
551,552,3026,99
551,552,3027,15
551,552,9003,0
551,552,9004,0
551,552,9005,5
551,552,9006,0
553,553,047,4
553,553,063,1
553,553,191,27
553,553,234,7
553,553,501,21
553,553,503,23
553,553,505,12
553,553,514,8
553,553,3020,4
553,553,3021,19
553,553,3022,4
553,553,3023,1
553,553,3024,0
553,553,3025,0
553,553,3026,48
553,553,3027,10
553,553,9003,0
553,553,9004,11
553,553,9005,0
553,553,9006,0
554,567,047,141
554,567,063,61
554,567,191,218
554,567,234,40
554,567,501,322
554,567,503,443
554,567,505,356
554,567,514,137
554,567,3020,31
554,567,3021,651
554,567,3022,142
554,567,3023,72
554,567,3024,7
554,567,3025,16
554,567,3026,338
554,567,3027,178
554,567,9003,0
554,567,9004,29
554,567,9005,83
554,567,9006,1
568,586,047,254
568,586,063,107
568,586,191,310
568,586,234,52
568,586,501,506
568,586,503,674
568,586,505,539
568,586,514,193
568,586,3020,49
568,586,3021,940
568,586,3022,209
568,586,3023,91
568,586,3024,17
568,586,3025,30
568,586,3026,521
568,586,3027,192
568,586,9003,4
568,586,9004,55
568,586,9005,87
568,586,9006,5
587,596,047,114
587,596,063,43
587,596,191,144
587,596,234,26
