latitude,longitude,cant_mesas,direccion,seccion,circuito,localidad,establecim,id,dne_seccio,hora
-62.59970028292476,-33.204554075580646,6,SAN MARTIN 1518,26,391,MONTE MAIZ,ESCUELA JOSE DE SAN MARTIN,7232,26,20
-62.48244999991243,-32.63026999495823,4,SAN MARCOS SUD,26,400,SAN MARCOS SUD,ESC PROV M BUCHARDO,7245,26,20
-64.84712709999997,-30.706406500000018,2,RUTA 75 0,4,0044A,LAS PLAYAS,ESC.PROV.PCIA.DE LA RIOJA,6552,4,20
-64.1604566,-30.6796325,1,PUBLICA 0,7,0091C,VILLA GUTIERREZ,"ESC,PROV.M.MARTINEZ DE SUAREZ",6633,7,20
-62.343168599999956,-32.9349552,1,AV 24 DE SEPTIEMBRE 0,9,0128A,SALADILLO,ESC.PROV.PAULA ALBARRACIN,6699,9,20
-65.31560389999996,-30.9501518,1,PUBLICA 0,10,0138D,TOSNO,ESC.PROV.MONS.R. LEAL,6709,10,20
-64.46241900012707,-31.347855595690277,3,CEFERINO NAMUNCURA 62,12,0147A,SAN ROQUE,ESC HOGAR ALBERTO MAGGI,6767,12,20
-64.72605675565221,-33.18515433440116,1,PUBLICA S/N,13,0160A,LACAROLINA-EL POTOSI,ESC PROV DOMINGO F SARMIENTO,6856,13,20
-64.42937879999992,-33.49042079999998,1,REMEDIOS ESCALADA DE SAN  MARTIN 0,13,0191A,MALENA,ESC.PROV.R.E.DE SAN MARTIN,6860,13,20
-63.605501266500006,-31.016773233499976,1,PUBLICA S/N,14,0212B,EL CRISPIN,ESC PROV DOMINGO F SARMIENTO,6896,14,20
-63.42720137099996,-30.27022478840003,2,PUESTO DE CASTRO,15,0226A,PUESTO DE CASTRO,ESC.PROV.D.F.SARMIENTO,6907,15,20
-63.49662,-31.88299,1,PUBLICA 0,16,0236A,COLONIA VIDELA,ESC.PROV.D.F.SARMIENTO,6947,16,20
-63.6503637905,-31.79920470159996,1,PUBLICA S/N-IMPIRA,16,0237B,PUEBLO LUDUEÑA,ESC PROV JERONIMO L DE CABRERA,6949,16,20
-65.10273339999993,-31.6975211,1,LOS ESPINILLOS,18,0264A,LOS ESPINILLOS,ESC TOMAS DE IRIARTE,6988,18,20
-65.37605658969997,-31.667361507800013,1,PUBLICA S/N,18,0265B,LA CORTADERA,ESC PROV MARIO REMORINO,6990,18,20
-65.17649939999998,-31.910674900000018,2,PUBLICA 0,18,0265C,SAUCE ARRIBA,ESC.PROV.FRAY L.BELTRAN,6991,18,20
-62.92605023765664,-31.246180756339026,1,COLONIA PICHANAS,20,0283A,COLONIA PICHANAS,ESC CONGRESO DE TUCUMAN,7081,20,20
-62.0837,-31424,9,JUAN JOSE PASO (B°VELEZ  SARSFIELD) 1650,20,0310A,SAN FCO.SECC.NORTE,COL SAN FCO DE ASIS,7086,20,20
-64.40257536490859,-31.725813867478312,4,ANIZACATE,21,0316A,ANIZACATE,ESC VICENTE LOPEZ Y PLANES,7123,21,20
-64.483629926,-31.703320624299987,1,PUBLICA S/N,21,0316B,LA ISLA,ESC PROV DOMINGO F SARMIENTO,7125,21,20
-64.43744199680378,-31.722784279488412,2,VILLA LOS AROMOS,21,0316I,VILLA LOS AROMOS,ESC PROV DOMINGO F SARMIENTO,7132,21,20
-62.800031,-32.0755992,1,CORRAL DEL BAJO 0,26,0397A,CORRAL DEL BAJO,ESCUELA VALENTIN ALSINA,7251,26,20
-64.18654762070709,-31.41924332268387,17,OBISPO TREJO 294,1,1,CAPITAL,COL NAC DE MONSERRAT,6090,1,21
-64.18605993516664,-31.41749050655053,10,OBISPO TREJO Y SANABRIA 160,1,1,CAPITAL,ESC SANTA TERESA DE JESUS,6092,1,21
-64.1915263841937,-31.40994151153461,15,SANTA ROSA 650,1,3,CAPITAL,ESC JERONIMO LUIS DE CABRERA,6094,1,21
-64.19592911444836,-31.410174141520788,10,AV COLON 951,1,3,CAPITAL,ESC NORMAL ALEJANDRO CARBO,6096,1,21
-64.1870740199476,-31.43491156600912,16,AV VALPARAISO CDAD  UNIVERSITARIA,1,4,CAPITAL,FAC DE CIENCIAS ECONOMICAS,6102,1,21
-64.1795569361378,-31.434036221310095,7,PAUNERO Y ARENAL,1,4,,IPEM 38 FRANC. PABLO DE MAURO,6103,1,21
-64.13253261580496,-31.42376675462337,6,ESTADOS UNIDOS Y RIO 1°  B°ALTAMIRA,1,5,CAPITAL,ESC ESTANISLAO DEL CAMPO,6105,1,21
-64.14139504484925,-31.42504666352551,11,ENTRE RIOS 3373 B°PQUE SAN  VICENTE,1,5,CAPITAL,ESC M FRAGUEIRO,6106,1,21
-64.15753616999253,-31.410499244959233,7,AVDA PATRIA 282 B°ALTO GRAL  PA,1,6,CAPITAL,COL SAN RAMON NONATO,6108,1,21
