"id","mesa_hasta","codigo_distrito","mesa_desde","codigo_postal","cant_mesas","direccion","seccion","circuito","localidad","distrito","establecimiento","dne_distrito_id","dne_seccion_id"
"6289","1840","4","1830","5000","11","POTRERILLO Y VENTA Y MEDIA","1","0011F","CAPITAL","CÓRDOBA","ESC BATERIA LIBERTAD","4","1"
"6290","1870","4","1861","5000","10","PUBLICA S/N B°PARQUE  REPUBLICA","1","0011G","CAPITAL","CÓRDOBA","ESC ATILIO ARGÜELLO","4","1"
"6292","1848","4","1841","5000","8","ALTO ALEGRE B°PQUE  REPUBLICA 1050","1","0011G","CAPITAL","CÓRDOBA","ESC PRIMER TTE AVILA","4","1"
"6294","1885","4","1876","5000","10","27 DE ABRIL 5650 B°QUEB LAS  ROSAS","1","0011H","CAPITAL","CÓRDOBA","ESC GABRIELA MISTRAL","4","1"
"6295","1894","4","1886","5000","9","BOYERO 517 - B°CHATEAU  CARRERAS","1","0011H","CAPITAL","CÓRDOBA","ESC REPUBLICA DE VENEZUELA","4","1"
"6297","1904","4","1895","5000","10","ABEL N DE CHAVEZ RES SAN  ROQUE","1","0011I","CAPITAL","CÓRDOBA","ESC MUNIC LUZ VIEYRA MENDEZ","4","1"
"6301","1980","4","1969","5000","12","SOL DE MAYO 726 B° OBRERO","1","0011J","CAPITAL","CÓRDOBA","COLEGIO SAN JOSE","4","1"
"6302","1986","4","1981","5000","6","FERREYRA R 2324 B°OBRERO","1","0011J","CAPITAL","CÓRDOBA","ESC GENERAL MOSCONI","4","1"
"6303","1968","4","1953","5000","16","SANTA ANA 2011 B°ALTO  ALBERDI","1","0011J","CAPITAL","CÓRDOBA","ESC LUTERANO CONCORDIA","4","1"
"6304","1952","4","1936","5000","17","ECHEVERRIA 370 B°ALTO  ALBERDI","1","0011J","CAPITAL","CÓRDOBA","ESC ROMA","4","1"
"6305","2012","4","2007","5014","6","HUMBTO PRIMO Y FALUCHO V  URQUIZA","1","0011K","CAPITAL","CÓRDOBA","COL MADRE PAULA MONTAL","4","1"
"6306","1994","4","1987","5000","8","LA RIOJA 3453 - B° VILLA SIBURU","1","0011K","CAPITAL","CÓRDOBA","ESC EJERCITO ARGENTINO","4","1"
"6307","2000","4","1995","5000","6","HUMBERTO 1° ESQ IROS VILLA  URQUIZA","1","0011K","CAPITAL","CÓRDOBA","ESC MUNIC E BAQUERO LASCANO","4","1"
"6308","2006","4","2001","5000","6","IGUALDAD 4100 VILLA URQUIZ","1","0011K","CAPITAL","CÓRDOBA","ESC MUNIC JUAN B JUSTO","4","1"
"6313","2074","4","2068","5000","7","CNO.SAN ANDRES/RUIZ  HUIDOBRO","1","0012A","CAPITAL","CÓRDOBA","ESC.MA.DEL TRANSITO CABANILLAS","4","1"
"6314","2067","4","2060","5000","8","11 DE SEPTIEMBRE ESQ. CALLE  2CARCANO 440","1","0012A","CAPITAL","CÓRDOBA","ESC.PROF.M.LUCIANI","4","1"
"6315","2112","4","2106","5000","7","TEJEDOR 1958 B°SARMIEN","1","0012B","CAPITAL","CÓRDOBA","ESC BARTOLOME HIDALGO","4","1"
"6316","2143","4","2139","5000","5","ORTIZ Y HERRERA 1932 B°CRISOL  N","1","0012B","CAPITAL","CÓRDOBA","ESC DR LUIS A CAEIRO","4","1"
"6317","2130","4","2121","5000","10","LUCIO V.MANSILLA ESQ. CADIZ","1","0012B","CAPITAL","CÓRDOBA","ESC HILARIO ASCASUBI","4","1"
"6318","2120","4","2113","5000","8","LUIS BRAILE 2273 B°SARMIEN","1","0012B","CAPITAL","CÓRDOBA","ESC JUAN LARREA","4","1"
"6319","2088","4","2075","5000","14","LA CORUÑA Y MONSERRAT  B°CRISOL","1","0012B","CAPITAL","CÓRDOBA","ESC RUBEN DARIO","4","1"
"6320","2138","4","2131","5000","8","LUIS BRAILE 2384 B°SARMIENTO","1","0012B","CAPITAL","CÓRDOBA","INST MANUEL BELGRANO","4","1"
"6321","2105","4","2089","5000","17","REVOLUCION DE MAYO 1476  B°COLON","1","0012B","CAPITAL","CÓRDOBA","INST NTRA SRA DEL SGDO CORAZON","4","1"
"6322","2156","4","2144","5000","13","ALTOLAGUIRRE 680 B°CNEL  OLMEDO","1","0012C","CAPITAL","CÓRDOBA","ESC CORONEL OLMEDO","4","1"
"6323","2210","4","2203","5000","8","CHIRINO DE POSADAS 5400  B°S.FELIPE","1","0012D","CAPITAL","CÓRDOBA","CENTRO EDUC.ING.REGINO M.MADER","4","1"
"6324","2166","4","2157","5000","10","17 DE JULIO 380 B°FVRO MITR","1","0012D","CAPITAL","CÓRDOBA","ESC MONSEÑOR M DE ANDREA","4","1"
"6325","2202","4","2196","5000","7","MANZANA 63, B° 23 DE  ABRIL(CNOINTERF","1","0012D","CAPITAL","CÓRDOBA","ESC MUNIC DOMINGO F SARMIENTO","4","1"
"6326","2195","4","2188","5000","8","CHIRINO DE POSADAS  ESQ.MAGUNA 4600","1","0012D","CAPITAL","CÓRDOBA","ESC MUNIC DR ARTURO H ILLIA","4","1"
"6327","2187","4","2180","5000","8","DIEGO DE PACHECO 4900","1","0012D","CAPITAL","CÓRDOBA","ESC MUNICIPAL DR A SABATTINI","4","1"
"6328","2179","4","2167","5000","13","PJE GUASTONI 3472 B° BRIG S  MARTIN","1","0012D","CAPITAL","CÓRDOBA","ESC PEDRO GOYENA","4","1"
"6331","2238","4","2231","5000","8","SGO MORALES 4400 B°FERREYRA","1","0012E","CAPITAL","CÓRDOBA","ESC LIBERTADOR GRAL S MARTIN","4","1"
"6332","2230","4","2226","5000","5","RUTA 9 KM 8 1/2","1","0012E","CAPITAL","CÓRDOBA","ESC REPUBLICA DE COSTA RICA","4","1"
"6333","2279","4","2273","5014","7","BOTAFOGO 3448 B° J.ESPINOSA","1","0012F","CAPITAL","CÓRDOBA","COL.JOVENES ARGENTINOS","4","1"
"6334","2272","4","2265","5000","8","CASTAÑARES 470 - B°JARDIN  DEL PILAR","1","0012F","CAPITAL","CÓRDOBA","ESC EJERCITO ARGENTINO","4","1"
"6335","2264","4","2255","5000","10","OLAEN Y AMBOY - B° OÑA","1","0012F","CAPITAL","CÓRDOBA","ESC GRAL MANUEL BELGRANO","4","1"
"6336","2254","4","2248","5000","7","BRAGADO/TRENQUE LAUQUEN  B°J HERNDEZ","1","0012F","CAPITAL","CÓRDOBA","ESC MUNIC BRIG JUAN I DE S MAR","4","1"
"6337","2247","4","2239","5000","9","PAMPAYASTA Y RUMIPAL  B°PQUE SCARLOS","1","0012F","CAPITAL","CÓRDOBA","ESC MUNIC E MOLINARI ROMERO","4","1"
